PDB,source_PDB,Rank,N,Fmax_eps_per_A,Ln_A,Lm_A,Lf_A,Pattern,CATH,sequence_chain_count,sequence_length,sequence_raw_length,sequence_frac_hydrophobic,sequence_frac_polar,sequence_frac_positive,sequence_frac_negative,sequence_frac_glycine,sequence_frac_proline,sequence_frac_low_complexity,sequence_fraction_charged,sequence_net_charge,sequence_estimated_pI,sequence_hydrophobicity_mean,sequence_hydrophobicity_variance,sequence_frac_A,sequence_frac_C,sequence_frac_D,sequence_frac_E,sequence_frac_F,sequence_frac_G,sequence_frac_H,sequence_frac_I,sequence_frac_K,sequence_frac_L,sequence_frac_M,sequence_frac_N,sequence_frac_P,sequence_frac_Q,sequence_frac_R,sequence_frac_S,sequence_frac_T,sequence_frac_V,sequence_frac_W,sequence_frac_Y,ss_total_residues,ss_H,ss_B,ss_E,ss_G,ss_I,ss_T,ss_S,ss_frac_helix,ss_frac_beta,ss_frac_secondary,ss_fraction_helix,ss_fraction_strand,ss_fraction_coil,ss_helix_segment_count,ss_strand_segment_count,ss_helix_segment_mean_length,ss_strand_segment_mean_length,ss_longest_helix_length,ss_longest_strand_length,ss_transitions_per_residue,chain_list,domain_ranges,num_chains,num_residues,num_atoms,num_hetatm,num_models,num_disulfide_bonds,structure_contact_density,structure_radius_of_gyration,structure_mean_relative_sasa,structure_fraction_buried,structure_beta_topology_score
1yn4,1yn4,11,99,3.6,35.4,62.8,372.4,MA,,1,99,99,0.42424242424242425,0.36363636363636365,0.1717171717171717,0.10101010101010101,0.04040404040404041,0.030303030303030304,0.0707070707070707,0.2727272727272727,5.096741968411747,9.878272724700764,-0.5858585858585859,10.094143454749513,0.050505050505050504,0.0,0.06060606060606061,0.04040404040404041,0.020202020202020204,0.04040404040404041,0.020202020202020204,0.08080808080808081,0.13131313131313133,0.06060606060606061,0.0,0.09090909090909091,0.030303030303030304,0.050505050505050504,0.020202020202020204,0.050505050505050504,0.1111111111111111,0.10101010101010101,0.0,0.04040404040404041,99,21,0,42,6,0,7,7,0.272727,0.424242,0.69697,0.2727272727272727,0.42424242424242425,0.30303030303030304,4,8,6.75,5.25,16,10,0.30303030303030304,A,A:43-141,1,99,754,97,1,0,9.01010101010101,12.793722093256907,0.10511402178068845,0.1919191919191919,3.822467095194368
1c78,1c78,12,136,3.6,27.2,140.3,513.0,MA,3.10.20.130,2,258,259,0.5155038759689923,0.24031007751937986,0.16666666666666666,0.16279069767441862,0.06589147286821706,0.06976744186046512,0.13565891472868216,0.32945736434108525,-2.685998163484726,5.911825445805334,-0.5848837209302324,9.153531188029564,0.03875968992248062,0.0,0.05426356589147287,0.10852713178294573,0.046511627906976744,0.06589147286821706,0.015503875968992248,0.05426356589147287,0.1434108527131783,0.06201550387596899,0.007751937984496124,0.03875968992248062,0.06976744186046512,0.0,0.007751937984496124,0.03875968992248062,0.07751937984496124,0.09302325581395349,0.007751937984496124,0.06976744186046512,259,24,0,106,0,0,37,27,0.092664,0.409266,0.501931,0.09266409266409266,0.4092664092664093,0.4980694980694981,2,19,12.0,5.578947368421052,12,12,0.36293436293436293,A|B,A:7-136|B:9-136,2,258,2084,0,1,0,8.937984496124031,20.74406983172595,0.10934376239608798,0.17054263565891473,3.6580168208075188
2sak,2sak,13,121,3.6,31.9,108.5,456.0,MA,3.10.20.130,1,121,121,0.512396694214876,0.256198347107438,0.15702479338842976,0.15702479338842976,0.049586776859504134,0.0743801652892562,0.12396694214876033,0.3140495867768595,-1.888258031108851,5.67895626817608,-0.48760330578512395,9.33017690048494,0.03305785123966942,0.0,0.04132231404958678,0.11570247933884298,0.049586776859504134,0.049586776859504134,0.01652892561983471,0.05785123966942149,0.1322314049586777,0.06611570247933884,0.008264462809917356,0.04132231404958678,0.0743801652892562,0.0,0.008264462809917356,0.049586776859504134,0.08264462809917356,0.09917355371900827,0.008264462809917356,0.06611570247933884,121,12,0,54,0,0,19,8,0.099174,0.446281,0.545455,0.09917355371900827,0.4462809917355372,0.45454545454545453,1,8,12.0,6.75,12,11,0.3140495867768595,A,A:16-136,1,121,983,93,1,0,8.958677685950413,15.160921195907044,0.10774822055813792,0.15702479338842976,3.9980875623249776
1v5o,1v5o,14,102,3.6,63.8,127.4,383.8,MA,,1,102,102,0.5098039215686274,0.3137254901960784,0.0784313725490196,0.13725490196078433,0.10784313725490197,0.049019607843137254,0.1568627450980392,0.21568627450980393,-7.126320559925077,4.2535222102678745,-0.11274509803921574,8.748170895809304,0.0196078431372549,0.029411764705882353,0.06862745098039216,0.06862745098039216,0.029411764705882353,0.10784313725490197,0.00980392156862745,0.0196078431372549,0.0196078431372549,0.12745098039215685,0.029411764705882353,0.029411764705882353,0.049019607843137254,0.0392156862745098,0.049019607843137254,0.11764705882352941,0.058823529411764705,0.09803921568627451,0.0,0.029411764705882353,102,15,4,24,3,5,8,7,0.22549,0.27451,0.5,0.22549019607843138,0.27450980392156865,0.5,4,9,5.75,3.111111111111111,11,7,0.3431372549019608,A,A:1-102,1,102,30300,0,20,0,8.450980392156863,17.876602341446805,0.1213574415780298,0.20588235294117646,2.3198769703960016
1sp0,1sp0,15,131,3.6,40.6,117.1,494.0,MA,,1,131,131,0.549618320610687,0.2595419847328244,0.08396946564885496,0.13740458015267176,0.04580152671755725,0.07633587786259542,0.12213740458015267,0.22137404580152673,-7.162710537434952,4.388598172273305,-0.06183206106870229,9.108466872559875,0.07633587786259542,0.015267175572519083,0.04580152671755725,0.0916030534351145,0.06870229007633588,0.04580152671755725,0.0,0.05343511450381679,0.05343511450381679,0.05343511450381679,0.030534351145038167,0.030534351145038167,0.07633587786259542,0.04580152671755725,0.030534351145038167,0.030534351145038167,0.10687022900763359,0.10687022900763359,0.007633587786259542,0.030534351145038167,131,0,0,55,4,0,18,14,0.030534,0.419847,0.450382,0.030534351145038167,0.4198473282442748,0.549618320610687,1,10,4.0,5.5,4,10,0.37404580152671757,A,A:21-151,1,131,2050,0,1,0,9.633587786259541,16.01830732346595,0.1022205455074786,0.2824427480916031,4.044636093467746
1so9,1so9,16,131,3.5,40.6,122.5,494.0,MA,,1,131,131,0.549618320610687,0.2595419847328244,0.08396946564885496,0.13740458015267176,0.04580152671755725,0.07633587786259542,0.12213740458015267,0.22137404580152673,-7.162710537434952,4.388598172273305,-0.06183206106870229,9.108466872559875,0.07633587786259542,0.015267175572519083,0.04580152671755725,0.0916030534351145,0.06870229007633588,0.04580152671755725,0.0,0.05343511450381679,0.05343511450381679,0.05343511450381679,0.030534351145038167,0.030534351145038167,0.07633587786259542,0.04580152671755725,0.030534351145038167,0.030534351145038167,0.10687022900763359,0.10687022900763359,0.007633587786259542,0.030534351145038167,131,0,3,43,4,0,15,22,0.030534,0.351145,0.381679,0.030534351145038167,0.3511450381679389,0.6183206106870229,1,12,4.0,3.8333333333333335,4,9,0.44274809160305345,A,A:21-151,1,131,61500,0,30,0,9.572519083969466,16.048223031785923,0.10250828476019315,0.25190839694656486,3.3613425791037814
1sn0,1sn0,17,130,3.5,21.5,124.6,490.2,MA,2.60.40.180,4,463,466,0.550755939524838,0.326133909287257,0.10583153347732181,0.09719222462203024,0.07775377969762419,0.05183585313174946,0.12958963282937366,0.20302375809935205,-15.277997780195054,5.57035422624449,-0.028077753779697602,8.103228918360397,0.10367170626349892,0.0064794816414686825,0.04319654427645788,0.05399568034557235,0.04319654427645788,0.07775377969762419,0.04535637149028078,0.03455723542116631,0.04319654427645788,0.06911447084233262,0.008639308855291577,0.017278617710583154,0.05183585313174946,0.04319654427645788,0.017278617710583154,0.058315334773218146,0.12095032397408208,0.1101511879049676,0.017278617710583154,0.03455723542116631,466,32,3,220,6,0,73,29,0.081545,0.478541,0.560086,0.0815450643776824,0.47854077253218885,0.43991416309012876,6,35,6.333333333333333,6.371428571428571,8,10,0.34334763948497854,A|B|C|D,A:10-127|B:10-125|C:11-125|D:10-123,4,463,3529,397,1,0,10.436285097192224,21.59016412554773,0.0931046673931949,0.39092872570194387,4.994187932776536
1oo2,1oo2,18,119,3.5,12.9,129.1,448.4,MA,2.60.40.180,4,464,467,0.5517241379310345,0.3275862068965517,0.10344827586206896,0.09482758620689655,0.08620689655172414,0.05172413793103448,0.13793103448275862,0.19827586206896552,-14.418624881309071,5.587430515820415,-0.04051724137931031,7.938616973840666,0.10344827586206896,0.008620689655172414,0.04310344827586207,0.05172413793103448,0.04310344827586207,0.08620689655172414,0.04310344827586207,0.034482758620689655,0.04310344827586207,0.06896551724137931,0.008620689655172414,0.017241379310344827,0.05172413793103448,0.04310344827586207,0.017241379310344827,0.0603448275862069,0.1206896551724138,0.10344827586206896,0.017241379310344827,0.034482758620689655,467,31,0,232,12,0,62,34,0.092077,0.496788,0.588865,0.09207708779443255,0.49678800856531047,0.41113490364025695,8,32,5.375,7.25,8,10,0.32548179871520344,A|B|C|D,A:9-124|B:9-124|C:9-124|D:9-124,4,464,3516,367,1,0,10.224137931034482,21.73510686420271,0.09543342792265205,0.35560344827586204,5.079229122055674
1i3v,1i3v,19,129,3.5,40.4,64.5,486.4,MA,2.60.40.10,2,258,259,0.5116279069767442,0.3643410852713178,0.09302325581395349,0.08527131782945736,0.11627906976744186,0.031007751937984496,0.14728682170542637,0.17829457364341086,1.730670980822385,8.00627034921581,-0.5085271317829458,7.806206357790996,0.07751937984496124,0.015503875968992248,0.05426356589147287,0.031007751937984496,0.023255813953488372,0.11627906976744186,0.0,0.031007751937984496,0.046511627906976744,0.06201550387596899,0.007751937984496124,0.06976744186046512,0.031007751937984496,0.06201550387596899,0.046511627906976744,0.08527131782945736,0.07751937984496124,0.07751937984496124,0.031007751937984496,0.05426356589147287,259,0,1,140,21,0,27,23,0.081081,0.544402,0.625483,0.08108108108108109,0.5444015444015444,0.3745173745173745,7,23,3.0,6.130434782608695,3,13,0.3474903474903475,A|B,A:1-129|B:1-129,2,258,1974,146,1,2,9.705426356589147,19.663812299670976,0.10079894265940778,0.313953488372093,5.283649097602586
1i9e,1i9e,20,115,3.5,49.5,66.5,433.2,MA,2.60.40.10,1,115,115,0.5565217391304348,0.391304347826087,0.09565217391304348,0.05217391304347826,0.06956521739130435,0.043478260869565216,0.11304347826086956,0.14782608695652175,2.9954687152165818,8.840009988366546,-0.05391304347826086,8.018832514177694,0.0782608695652174,0.017391304347826087,0.02608695652173913,0.02608695652173913,0.06086956521739131,0.06956521739130435,0.017391304347826087,0.017391304347826087,0.043478260869565216,0.08695652173913043,0.0,0.02608695652173913,0.043478260869565216,0.06956521739130435,0.034782608695652174,0.1391304347826087,0.043478260869565216,0.10434782608695652,0.017391304347826087,0.0782608695652174,115,0,2,56,6,0,10,10,0.052174,0.504348,0.556522,0.05217391304347826,0.5043478260869565,0.4434782608695652,2,14,3.0,4.142857142857143,3,9,0.391304347826087,A,A:1-115,1,115,905,58,1,1,9.478260869565217,14.173120937637277,0.10586811738985652,0.24347826086956523,4.780340264650283
1nam,1nam,21,116,3.5,35.2,47.5,437.0,MA,2.60.40.10,5,612,616,0.49673202614379086,0.3300653594771242,0.13725490196078433,0.11764705882352941,0.07026143790849673,0.04738562091503268,0.11764705882352941,0.2549019607843137,-1.323409671127422,6.731696044610544,-0.5555555555555556,8.608024691358024,0.05228758169934641,0.0196078431372549,0.05065359477124183,0.06699346405228758,0.029411764705882353,0.07026143790849673,0.02287581699346405,0.03758169934640523,0.05392156862745098,0.08660130718954248,0.024509803921568627,0.03104575163398693,0.04738562091503268,0.06045751633986928,0.06045751633986928,0.058823529411764705,0.0784313725490196,0.06372549019607843,0.026143790849673203,0.058823529411764705,616,67,6,245,9,0,58,73,0.123377,0.407468,0.530844,0.12337662337662338,0.4074675324675325,0.46915584415584416,7,49,10.857142857142858,5.122448979591836,28,10,0.32954545454545453,A|B|H|L|P,A:1-116|B:1-116|H:1-275|L:0-99|P:1-8,5,612,4962,129,1,4,9.781045751633988,30.81980408689993,0.09956167265495408,0.28431372549019607,3.9854585773703426
1eaj,1eaj,22,126,3.5,41.6,61.9,475.0,MA,2.60.40.10,2,244,245,0.5081967213114754,0.29098360655737704,0.12704918032786885,0.13934426229508196,0.05737704918032787,0.05737704918032787,0.11475409836065574,0.26639344262295084,-6.893548225145487,5.036094521136874,-0.28565573770491803,9.707704078204785,0.05327868852459016,0.01639344262295082,0.09016393442622951,0.04918032786885246,0.020491803278688523,0.05737704918032787,0.01639344262295082,0.08196721311475409,0.09836065573770492,0.09836065573770492,0.00819672131147541,0.040983606557377046,0.05737704918032787,0.040983606557377046,0.012295081967213115,0.06967213114754098,0.05737704918032787,0.07377049180327869,0.00819672131147541,0.04918032786885246,245,0,4,119,12,0,36,24,0.04898,0.502041,0.55102,0.04897959183673469,0.5020408163265306,0.4489795918367347,4,24,3.0,5.125,3,12,0.3836734693877551,A|B,A:16-139|B:20-139,2,244,1962,342,1,2,10.09016393442623,18.592877260923355,0.09588735824873723,0.36475409836065575,5.0656741385078625
1kiq,1kiq*,23,107,3.4,36.2,46.1,402.8,MA,2.60.40.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1f5w,1f5w,24,126,3.4,41.4,63.9,475.0,MA,2.60.40.10,2,245,246,0.5061224489795918,0.2938775510204082,0.12653061224489795,0.13877551020408163,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.2653061224489796,-6.893548225145487,5.036094521136874,-0.28775510204081634,9.669156184922947,0.053061224489795916,0.0163265306122449,0.08979591836734693,0.04897959183673469,0.02040816326530612,0.05714285714285714,0.0163265306122449,0.08163265306122448,0.09795918367346938,0.09795918367346938,0.00816326530612245,0.04081632653061224,0.05714285714285714,0.04081632653061224,0.012244897959183673,0.07346938775510205,0.05714285714285714,0.07346938775510205,0.00816326530612245,0.04897959183673469,246,0,4,121,12,0,36,24,0.04878,0.50813,0.556911,0.04878048780487805,0.508130081300813,0.44308943089430897,4,24,3.0,5.208333333333333,3,12,0.3821138211382114,A|B,A:16-139|B:19-139,2,245,1921,247,1,2,10.114285714285714,18.623254102813483,0.09554047759629992,0.363265306122449,5.139372822299652
2ncm,2ncm,25,99,3.4,42.1,73.5,372.4,MA,2.60.40.10,1,99,99,0.46464646464646464,0.32323232323232326,0.08080808080808081,0.15151515151515152,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.23232323232323232,-7.171563285051693,4.120286120481069,-0.29393939393939394,9.755518824609734,0.06060606060606061,0.020202020202020204,0.10101010101010101,0.050505050505050504,0.04040404040404041,0.06060606060606061,0.0,0.08080808080808081,0.06060606060606061,0.04040404040404041,0.0,0.06060606060606061,0.030303030303030304,0.0707070707070707,0.020202020202020204,0.10101010101010101,0.050505050505050504,0.1111111111111111,0.020202020202020204,0.020202020202020204,99,0,0,55,0,0,8,18,0.0,0.555556,0.555556,0.0,0.5555555555555556,0.4444444444444444,0,9,0.0,6.111111111111111,0,11,0.29292929292929293,A,A:1-99,1,99,29980,0,20,1,9.656565656565656,13.403831704281364,0.1010300206824271,0.24242424242424243,5.364758698092031
1pgx,1pgx,26,83,3.4,62.7,83.0,311.6,MA,3.10.20.10,1,70,70,0.4857142857142857,0.3,0.1,0.15714285714285714,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.2571428571428571,-4.079188906167486,4.398952337313858,-0.33714285714285713,8.118620408163265,0.11428571428571428,0.0,0.07142857142857142,0.08571428571428572,0.02857142857142857,0.05714285714285714,0.0,0.014285714285714285,0.1,0.04285714285714286,0.014285714285714285,0.04285714285714286,0.02857142857142857,0.014285714285714285,0.0,0.0,0.2,0.12857142857142856,0.014285714285714285,0.04285714285714286,70,14,0,28,0,0,6,5,0.2,0.4,0.6,0.2,0.4,0.4,1,4,14.0,7.0,14,8,0.21428571428571427,A,A:8-77,1,70,536,63,1,0,8.17142857142857,14.424520432087657,0.12255490541204828,0.12857142857142856,3.2685714285714287
1m94,1m94,27,73,3.4,27.4,36.9,273.6,MA,3.10.20.90,1,73,73,0.4931506849315068,0.2602739726027397,0.1643835616438356,0.1506849315068493,0.0684931506849315,0.0136986301369863,0.0821917808219178,0.3150684931506849,-0.9466191266854125,6.089574101672952,-0.20136986301369864,11.437121411146556,0.0136986301369863,0.0136986301369863,0.0821917808219178,0.0684931506849315,0.0136986301369863,0.0684931506849315,0.0273972602739726,0.0547945205479452,0.1095890410958904,0.136986301369863,0.0136986301369863,0.0410958904109589,0.0136986301369863,0.0547945205479452,0.0273972602739726,0.0547945205479452,0.0273972602739726,0.136986301369863,0.0,0.0410958904109589,73,16,2,27,0,0,13,6,0.219178,0.39726,0.616438,0.2191780821917808,0.3972602739726027,0.3835616438356164,2,7,8.0,4.142857142857143,12,7,0.3424657534246575,A,A:1-73,1,73,23680,0,20,0,9.534246575342467,10.54825296784602,0.09991581858020214,0.2054794520547945,3.7875774066428973
